Day,Temperature,TemperatureMax,TemperatureMin,Humidity,Rain,Clouds,WindSpeed,WindDirection
0,1.1,3.8,-1.0,91.6,0.364,77.2,12.9,271.9
1,1.1,3.8,-1.9,94.7,0.39,92.0,7.7,159.4
2,2.8,3.9,1.9,90.9,0.188,99.5,18.1,32.7
3,2.6,3.0,2.0,88.3,0.803,99.5,20.5,29.7
4,2.6,2.9,2.1,87.7,0.013,100.0,20.3,32.7
5,2.8,3.8,1.8,89.8,0.039,99.1,16.4,18.6
6,1.8,3.1,0.8,93.8,2.019,92.3,18.1,268.9
7,1.1,3.9,-1.8,89.4,0.189,78.4,14.6,260.3
8,-0.2,1.7,-2.2,96.3,0.0,95.3,10.9,306.2
9,-0.1,4.7,-2.9,95.7,0.188,79.2,9.3,240.2
10,4.7,7.8,1.1,87.9,0.034,98.9,27.5,210.3
11,6.7,8.8,0.9,88.6,13.993,90.7,33.2,269.7
12,2.9,6.1,-0.8,95.3,2.543,91.3,14.6,256.3
13,1.9,3.9,0.8,96.3,22.595,98.2,27.5,68.7
14,0.8,2.1,-0.2,82.4,0.207,85.8,22.0,12.5
15,0.0,1.1,-0.9,89.5,0.451,99.3,25.6,172.7
16,3.8,5.9,0.9,92.5,2.223,94.2,23.8,277.4
17,3.5,5.9,0.9,92.2,0.576,76.8,25.6,210.9
18,6.7,9.8,4.1,89.8,1.553,96.9,40.4,199.4
19,8.3,10.8,6.1,74.1,0.014,96.3,36.9,179.1
20,7.5,11.0,5.1,81.4,8.928,82.6,48.2,194.6
21,4.1,6.8,2.1,89.6,3.435,84.8,22.2,216.1
22,2.6,4.1,0.8,91.4,1.833,80.9,20.3,220.5
23,0.7,2.0,-1.8,90.6,0.515,78.7,21.9,199.6
24,2.4,5.9,1.0,86.0,0.038,74.6,22.2,279.5
25,1.9,4.1,-0.2,82.9,0.0,76.9,34.8,217.2
26,4.6,8.7,0.8,95.1,2.332,99.7,29.3,189.1
27,9.7,11.8,7.0,94.1,11.378,99.1,40.2,237.8
28,8.3,10.0,5.7,91.8,12.386,97.0,38.6,248.6
29,5.1,8.0,2.0,94.7,7.814,98.3,32.6,67.5
30,1.9,4.1,0.0,90.7,1.199,99.9,27.5,60.5
31,4.7,5.7,4.1,96.4,0.412,100.0,22.0,311.5
32,8.7,12.1,4.8,91.1,2.448,90.6,29.1,197.1
33,9.5,12.1,7.6,88.6,17.65,95.6,31.1,210.2
34,6.2,8.0,3.1,93.5,0.025,71.9,18.3,166.3
35,7.9,10.8,5.2,90.7,0.005,98.4,16.3,174.8
36,6.4,8.9,1.9,91.3,2.271,98.2,25.8,45.9
37,-1.1,0.9,-3.0,90.9,0.54,99.3,24.0,9.8
38,-4.1,-3.0,-5.9,86.1,0.154,97.5,22.3,26.0
39,-5.1,-3.0,-6.2,74.4,0.024,64.6,27.3,52.9
40,-4.6,-2.0,-6.9,74.5,0.006,47.0,29.5,40.7
41,-3.6,-1.0,-6.1,76.2,0.0,48.6,24.5,67.1
