Day,Temperature,TemperatureMax,TemperatureMin,Humidity,Rain,Clouds,WindSpeed,WindDirection
0,5.5,9.8,2.1,82.8,6.024,87.8,18.2,358.5
1,4.3,6.7,2.1,69.5,0.358,97.1,25.6,319.3
2,4.3,6.6,3.0,65.0,0.861,98.9,23.9,311.5
3,3.0,6.6,0.3,86.6,1.604,89.6,19.4,3.2
4,2.2,7.1,-3.0,78.4,0.0,68.2,13.0,338.5
5,1.0,6.1,-3.9,69.0,0.0,16.5,12.6,298.7
6,1.3,6.7,-3.0,67.2,0.0,73.2,14.7,321.5
7,2.5,8.7,-3.9,60.4,0.0,55.0,26.9,355.3
8,4.7,7.7,3.1,55.5,0.0,98.3,30.8,28.1
9,3.6,5.0,1.7,55.8,0.079,100.0,32.3,16.3
10,1.2,6.1,-2.8,63.0,0.0,10.2,13.3,315.0
11,3.3,8.8,-4.5,67.9,0.0,66.2,46.1,293.4
12,11.9,15.0,8.9,61.7,0.0,73.5,44.2,288.6
13,11.4,13.9,9.0,56.8,0.0,19.5,51.4,305.6
14,10.2,12.1,6.1,52.7,0.0,75.6,46.2,303.5
15,4.6,9.9,-0.9,58.1,0.0,73.2,17.2,345.6
16,8.7,14.0,4.9,56.9,0.0,70.6,42.0,313.8
17,6.5,12.9,2.2,55.0,0.0,26.8,21.8,323.5
18,4.1,10.7,-2.6,69.7,0.0,53.5,20.4,24.2
19,10.8,12.8,6.3,83.0,0.376,97.0,51.0,129.9
20,11.4,14.0,7.2,90.1,0.014,95.6,31.3,102.8
21,10.2,11.8,8.1,81.6,0.361,92.0,49.6,301.9
22,9.1,13.7,5.1,65.0,0.0,85.6,30.7,271.5
23,8.3,11.9,5.7,69.8,0.84,67.7,42.0,299.8
24,8.1,12.0,4.2,61.7,0.0,69.7,25.1,296.8
25,5.6,10.1,0.1,47.6,0.0,45.4,25.0,334.3
26,9.2,16.9,3.2,64.0,0.053,91.3,35.7,299.0
27,15.7,19.0,12.8,65.9,0.0,89.1,37.0,273.2
28,14.3,18.0,11.1,64.7,0.188,92.4,39.2,272.9
29,9.9,11.9,5.2,79.0,8.367,93.9,23.5,285.6
30,11.8,16.7,6.3,71.8,0.033,84.2,35.1,265.8
31,13.4,16.7,7.2,69.0,0.345,86.1,38.8,266.6
32,14.9,20.6,11.1,67.0,0.0,93.6,31.9,275.5
33,12.0,15.8,9.2,91.2,0.0,93.8,20.7,64.2
34,10.4,12.8,7.2,93.9,0.024,98.6,21.8,81.4
35,13.1,16.6,11.2,87.3,0.008,92.4,24.9,88.2
36,12.4,15.0,8.2,85.2,0.019,90.8,51.6,113.9
