Day,Temperature,TemperatureMax,TemperatureMin,Humidity,Rain,Clouds,WindSpeed,WindDirection
0,27,30,24,60,0,0,5,271.5
1,27,30,24,60,0,0,5,271.5
2,27,30,24,60,0,0,5,271.5
3,27,30,24,60,0,0,5,271.5
4,27,30,24,60,0,0,5,271.5
5,27,30,24,60,0,0,5,271.5
6,27,30,24,60,0,0,5,271.5
7,27,30,24,60,0,0,5,271.5
8,27,30,24,60,0,0,5,271.5
9,27,30,24,60,0,0,5,271.5
10,27,30,24,60,0,0,5,271.5
11,27,30,24,60,0,0,5,271.5
12,27,30,24,60,0,0,5,271.5
13,27,30,24,60,0,0,5,271.5
14,27,30,24,60,0,0,5,271.5
15,27,30,24,60,0,0,5,271.5
16,27,30,24,60,0,0,5,271.5
17,27,30,24,60,0,0,5,271.5
18,27,30,24,60,0,0,5,271.5
19,27,30,24,60,0,0,5,271.5
20,27,30,24,60,0,0,5,271.5
21,27,30,24,60,0,0,5,271.5
22,27,30,24,60,0,0,5,271.5
23,27,30,24,60,0,0,5,271.5
24,27,30,24,60,0,0,5,271.5
25,27,30,24,60,0,0,5,271.5
26,27,30,24,60,0,0,5,271.5
27,27,30,24,60,0,0,5,271.5
28,27,30,24,60,0,0,5,271.5
29,27,30,24,60,0,0,5,271.5
30,27,30,24,60,0,0,5,271.5
31,27,30,24,60,0,0,5,271.5
32,27,30,24,60,0,0,5,271.5
33,27,30,24,60,0,0,5,271.5
34,27,30,24,60,0,0,5,271.5
35,27,30,24,60,0,0,5,271.5
36,27,30,24,60,0,0,5,271.5
37,27,30,24,60,0,0,5,271.5
38,27,30,24,60,0,0,5,271.5
39,27,30,24,60,0,0,5,271.5
40,27,30,24,60,0,0,5,271.5
41,27,30,24,60,0,0,5,271.5
42,27,30,24,60,0,0,5,271.5
43,27,30,24,60,0,0,5,271.5
44,27,30,24,60,0,0,5,271.5
45,27,30,24,60,0,0,5,271.5
46,27,30,24,60,0,0,5,271.5
47,27,30,24,60,0,0,5,271.5
48,27,30,24,60,0,0,5,271.5
49,27,30,24,60,0,0,5,271.5
50,27,30,24,60,0,0,5,271.5
51,27,30,24,60,0,0,5,271.5
52,27,30,24,60,0,0,5,271.5
53,27,30,24,60,0,0,5,271.5
54,27,30,24,60,0,0,5,271.5
55,27,30,24,60,0,0,5,271.5
56,27,30,24,60,0,0,5,271.5
57,27,30,24,60,0,0,5,271.5
58,27,30,24,60,0,0,5,271.5
59,27,30,24,60,0,0,5,271.5
