Day,Temperature,TemperatureMax,TemperatureMin,Humidity,Rain,Clouds,WindSpeed,WindDirection
0,23.0,25.0,20.0,95,3,100,1.1,271.5
1,23.0,25.0,20.0,95,3,100,1.1,271.5
2,23.0,25.0,20.0,95,3,100,1.1,271.5
3,23.0,25.0,20.0,95,3,100,1.1,271.5
4,23.0,25.0,20.0,95,3,100,1.1,271.5
5,23.0,25.0,20.0,95,3,100,1.1,271.5
6,23.0,25.0,20.0,95,3,100,1.1,271.5
7,23.0,25.0,20.0,95,3,100,1.1,271.5
8,23.0,25.0,20.0,95,3,100,1.1,271.5
9,23.0,25.0,20.0,95,3,100,1.1,271.5
10,23.0,25.0,20.0,95,3,100,1.1,271.5
11,23.0,25.0,20.0,95,3,100,1.1,271.5
12,23.0,25.0,20.0,95,3,100,1.1,271.5
13,23.0,25.0,20.0,95,3,100,1.1,271.5
14,23.0,25.0,20.0,95,3,100,1.1,271.5
15,23.0,25.0,20.0,95,3,100,1.1,271.5
16,23.0,25.0,20.0,95,3,100,1.1,271.5
17,23.0,25.0,20.0,95,3,100,1.1,271.5
18,23.0,25.0,20.0,95,3,100,1.1,271.5
19,23.0,25.0,20.0,95,3,100,1.1,271.5
20,23.0,25.0,20.0,95,3,100,1.1,271.5
21,23.0,25.0,20.0,95,3,100,1.1,271.5
22,23.0,25.0,20.0,95,3,100,1.1,271.5
23,23.0,25.0,20.0,95,3,100,1.1,271.5
24,23.0,25.0,20.0,95,3,100,1.1,271.5
25,23.0,25.0,20.0,95,3,100,1.1,271.5
26,23.0,25.0,20.0,95,3,100,1.1,271.5
27,23.0,25.0,20.0,95,3,100,1.1,271.5
28,23.0,25.0,20.0,95,3,100,1.1,271.5
29,23.0,25.0,20.0,95,3,100,1.1,271.5
30,23.0,25.0,20.0,95,3,100,1.1,271.5
31,23.0,25.0,20.0,95,3,100,1.1,271.5
32,23.0,25.0,20.0,95,3,100,1.1,271.5
33,23.0,25.0,20.0,95,3,100,1.1,271.5
34,23.0,25.0,20.0,95,3,100,1.1,271.5
35,23.0,25.0,20.0,95,3,100,1.1,271.5
36,23.0,25.0,20.0,95,3,100,1.1,271.5
37,23.0,25.0,20.0,95,3,100,1.1,271.5
38,23.0,25.0,20.0,95,3,100,1.1,271.5
39,23.0,25.0,20.0,95,3,100,1.1,271.5
40,23.0,25.0,20.0,95,3,100,1.1,271.5
41,23.0,25.0,20.0,95,3,100,1.1,271.5
42,23.0,25.0,20.0,95,3,100,1.1,271.5
43,23.0,25.0,20.0,95,3,100,1.1,271.5
44,23.0,25.0,20.0,95,3,100,1.1,271.5
45,23.0,25.0,20.0,95,3,100,1.1,271.5
46,23.0,25.0,20.0,95,3,100,1.1,271.5
47,23.0,25.0,20.0,95,3,100,1.1,271.5
48,23.0,25.0,20.0,95,3,100,1.1,271.5
49,23.0,25.0,20.0,95,3,100,1.1,271.5
50,23.0,25.0,20.0,95,3,100,1.1,271.5
51,23.0,25.0,20.0,95,3,100,1.1,271.5
52,23.0,25.0,20.0,95,3,100,1.1,271.5
53,23.0,25.0,20.0,95,3,100,1.1,271.5
54,23.0,25.0,20.0,95,3,100,1.1,271.5
55,23.0,25.0,20.0,95,3,100,1.1,271.5
56,23.0,25.0,20.0,95,3,100,1.1,271.5
57,23.0,25.0,20.0,95,3,100,1.1,271.5
58,23.0,25.0,20.0,95,3,100,1.1,271.5
59,23.0,25.0,20.0,95,3,100,1.1,271.5
60,23.0,25.0,20.0,95,3,100,1.1,271.5
61,23.0,25.0,20.0,95,3,100,1.1,271.5
62,23.0,25.0,20.0,95,3,100,1.1,271.5
63,23.0,25.0,20.0,95,3,100,1.1,271.5
64,23.0,25.0,20.0,95,3,100,1.1,271.5
65,23.0,25.0,20.0,95,3,100,1.1,271.5
66,23.0,25.0,20.0,95,3,100,1.1,271.5
67,23.0,25.0,20.0,95,3,100,1.1,271.5
68,23.0,25.0,20.0,95,3,100,1.1,271.5
69,23.0,25.0,20.0,95,3,100,1.1,271.5
70,23.0,25.0,20.0,95,3,100,1.1,271.5
71,23.0,25.0,20.0,95,3,100,1.1,271.5
72,23.0,25.0,20.0,95,3,100,1.1,271.5
73,23.0,25.0,20.0,95,3,100,1.1,271.5
74,23.0,25.0,20.0,95,3,100,1.1,271.5
75,23.0,25.0,20.0,95,3,100,1.1,271.5
76,23.0,25.0,20.0,95,3,100,1.1,271.5
77,23.0,25.0,20.0,95,3,100,1.1,271.5
78,23.0,25.0,20.0,95,3,100,1.1,271.5
79,23.0,25.0,20.0,95,3,100,1.1,271.5
80,23.0,25.0,20.0,95,3,100,1.1,271.5
81,23.0,25.0,20.0,95,3,100,1.1,271.5
82,23.0,25.0,20.0,95,3,100,1.1,271.5
83,23.0,25.0,20.0,95,3,100,1.1,271.5
84,23.0,25.0,20.0,95,3,100,1.1,271.5
85,23.0,25.0,20.0,95,3,100,1.1,271.5
86,23.0,25.0,20.0,95,3,100,1.1,271.5
87,23.0,25.0,20.0,95,3,100,1.1,271.5
88,23.0,25.0,20.0,95,3,100,1.1,271.5
89,23.0,25.0,20.0,95,3,100,1.1,271.5
90,23.0,25.0,20.0,95,3,100,1.1,271.5
91,23.0,25.0,20.0,95,3,100,1.1,271.5
92,23.0,25.0,20.0,95,3,100,1.1,271.5
93,23.0,25.0,20.0,95,3,100,1.1,271.5
94,23.0,25.0,20.0,95,3,100,1.1,271.5
95,23.0,25.0,20.0,95,3,100,1.1,271.5
96,23.0,25.0,20.0,95,3,100,1.1,271.5
97,23.0,25.0,20.0,95,3,100,1.1,271.5
98,23.0,25.0,20.0,95,3,100,1.1,271.5
99,23.0,25.0,20.0,95,3,100,1.1,271.5
100,23.0,25.0,20.0,95,3,100,1.1,271.5
101,23.0,25.0,20.0,95,3,100,1.1,271.5
102,23.0,25.0,20.0,95,3,100,1.1,271.5
103,23.0,25.0,20.0,95,3,100,1.1,271.5
104,23.0,25.0,20.0,95,3,100,1.1,271.5
105,23.0,25.0,20.0,95,3,100,1.1,271.5
106,23.0,25.0,20.0,95,3,100,1.1,271.5
107,23.0,25.0,20.0,95,3,100,1.1,271.5
108,23.0,25.0,20.0,95,3,100,1.1,271.5
