name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lille,2021-01-01,3.8,-1,1.1,1.4,-3.7,-1.3,-0.1,91.6,0.364,100,8.33,"rain,snow",0,0,22.2,12.9,271.9,1010.2,77.2,9.6,18.6,1.7,1,,2021-01-01T08:49:13,2021-01-01T16:53:48,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-02,3.8,-1.9,1.1,3.8,-4,0.3,0.3,94.7,0.39,100,20.83,"rain,snow",0,0,14.6,7.7,159.4,1014.1,92,4.3,25.7,2.3,1,,2021-01-02T08:49:06,2021-01-02T16:54:52,0.62,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-03,3.9,1.9,2.8,2.1,-1.1,0.5,1.4,90.9,0.188,100,8.33,rain,0,0,31.4,18.1,32.7,1015.4,99.5,6.2,13.2,1.1,1,,2021-01-03T08:48:56,2021-01-03T16:55:58,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,AT575,07015099999"
Lille,2021-01-04,3,2,2.6,-0.6,-2.7,-1.6,0.8,88.3,0.803,100,37.5,rain,0,0,36.6,20.5,29.7,1015.8,99.5,10.9,8.2,0.7,0,,2021-01-04T08:48:43,2021-01-04T16:57:07,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-05,2.9,2.1,2.6,-0.3,-2.3,-1.4,0.8,87.7,0.013,100,8.33,rain,0,0,34.7,20.3,32.7,1016.5,100,10.9,8.3,0.6,0,,2021-01-05T08:48:26,2021-01-05T16:58:18,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-06,3.8,1.8,2.8,0.8,-1.4,0,1.3,89.8,0.039,100,16.67,"rain,snow",0,0,25.6,16.4,18.6,1017,99.1,8,11.7,1,1,,2021-01-06T08:48:07,2021-01-06T16:59:31,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,AT575,07015099999"
Lille,2021-01-07,3.1,0.8,1.8,0.2,-3,-1.3,0.9,93.8,2.019,100,58.33,"rain,snow",0,0,30.6,18.1,268.9,1016,92.3,10.9,19.8,1.8,1,,2021-01-07T08:47:44,2021-01-07T17:00:47,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-08,3.9,-1.8,1.1,1.9,-5.2,-1.8,-0.5,89.4,0.189,100,12.5,"rain,snow",0,0,23.9,14.6,260.3,1017.6,78.4,11.5,22.5,1.9,1,,2021-01-08T08:47:18,2021-01-08T17:02:05,0.83,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-09,1.7,-2.2,-0.2,0.3,-4.2,-2,-0.7,96.3,0,0,0,,0,0,17.6,10.9,306.2,1024.7,95.3,0.9,27.6,2.4,2,,2021-01-09T08:46:49,2021-01-09T17:03:24,0.87,Overcast,Cloudy skies throughout the day.,fog,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-10,4.7,-2.9,-0.1,2.4,-5,-1.2,-0.7,95.7,0.188,100,8.33,"rain,snow",0,0,14.8,9.3,240.2,1025.7,79.2,4.4,18.4,1.4,1,,2021-01-10T08:46:17,2021-01-10T17:04:46,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-11,7.8,1.1,4.7,4.5,-1.3,1.2,2.9,87.9,0.034,100,8.33,rain,0,0,46.1,27.5,210.3,1020.2,98.9,15.5,20.3,1.9,1,,2021-01-11T08:45:41,2021-01-11T17:06:10,0.94,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-12,8.8,0.9,6.7,5.1,-3.2,3.2,4.9,88.6,13.993,100,62.5,rain,0,0,59.2,33.2,269.7,1012.9,90.7,17.3,20.3,1.7,2,,2021-01-12T08:45:03,2021-01-12T17:07:35,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06414099999,06407099999,06432099999,F2929,06428099999,LFQQ,07015099999"
Lille,2021-01-13,6.1,-0.8,2.9,5,-4.9,0.4,2.2,95.3,2.543,100,45.83,rain,0,0,25.6,14.6,256.3,1018.7,91.3,7.8,11.9,0.9,1,,2021-01-13T08:44:22,2021-01-13T17:09:02,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06414099999,06432099999,F2929,06428099999,LFQQ,07015099999"
