,Tmin,Tmax,T,RH,Rain,U
33867,-0.8,2.4,1.5,98.0,0,3.7
33868,1.6,9.1,4.8,96.0,0,4.9
33869,7.1,10.3,7.9,91.0,1,6.1
33870,1.3,8.5,5.0,87.0,0,3.7
33871,5.4,7.8,6.4,90.0,0,2.4
33872,1.9,7.5,5.3,84.0,0,4.2
33873,3.4,11.6,6.9,94.0,0,4.9
33874,7.2,12.2,11.4,97.0,1,4.3
33875,11.0,12.9,11.8,89.0,1,8.0
33876,6.6,7.9,7.1,87.0,0,4.5
33877,4.3,7.8,5.9,78.0,0,6.3
33878,4.8,11.2,7.3,83.0,0,6.4
33879,4.7,10.4,7.7,90.0,1,7.2
33880,9.0,11.8,10.4,84.0,1,11.0
33881,6.3,10.4,8.2,82.0,0,7.6
33882,1.8,11.2,7.0,89.0,0,5.5
33883,6.6,11.0,8.2,80.0,0,6.6
33884,0.9,7.6,3.4,86.0,0,3.4
33885,-1.1,8.4,3.5,86.0,0,3.7
33886,-1.7,3.7,1.7,99.0,0,1.3
33887,-2.2,1.0,-0.5,100.0,0,1.0
33888,-1.3,4.6,1.4,97.0,0,2.1
33889,0.8,5.2,3.0,94.0,0,3.1
33890,0.7,1.5,1.0,90.0,0,1.9
33891,-0.4,3.9,1.8,99.0,0,2.6
33892,2.2,8.7,5.7,93.0,1,5.3
33893,6.7,9.6,8.1,90.0,1,6.3
33894,3.0,8.0,5.0,80.0,1,8.1
33895,1.9,9.1,5.2,79.0,0,5.5
33896,3.0,12.2,7.8,92.0,0,6.5
33897,9.5,12.9,11.3,87.0,1,7.1
33898,9.5,12.5,10.6,85.0,1,7.8
33899,7.0,13.0,10.4,89.0,1,7.2
33900,8.9,11.6,9.6,84.0,1,6.5
33901,4.2,7.4,6.2,79.0,1,7.4
33902,5.2,8.6,6.4,82.0,0,1.5
33903,-0.1,8.9,4.1,84.0,0,1.6
33904,-0.7,9.1,4.7,78.0,0,4.0
33905,6.0,9.2,8.1,90.0,1,4.1
33906,6.8,14.0,9.9,81.0,1,13.6
33907,5.6,10.4,7.9,72.0,1,12.6
33908,5.5,9.2,6.4,61.0,0,9.9
33909,3.0,9.0,5.6,75.0,1,6.1
33910,3.9,9.7,7.1,82.0,1,8.2
33911,4.1,10.7,7.8,80.0,0,4.4
33912,6.9,13.3,10.3,79.0,1,9.2
